,title,text,time,image,country,3let
39," Αλβανία: Παραιτήθηκε ο Υπουργός Εσωτερικών, πρώτη νίκη των διαδηλωτών ",Η λαϊκή απαίτηση για παραίτηση του Υπουργού Εσωτερικών στην Αλβανία έγινε πράξη. Ο Ράμα θα την ενεργοποιήσει μόλις επιστρέψει από τις ΗΠΑ. ,2020-12-10 19:52:00,https://www.news247.gr/img/2948/9076074/441000/w140/140/albania2.jpg,αλβανία,ALB
43, Φινλανδία: Αυξημένα επίπεδα ραδιενέργειας μέσα σε πυρηνικό σταθμό ,Αυξήθηκαν τα επίπεδα ραδιενέργειας μέσα στη Μονάδα 2 του Πυρηνικού Σταθμού Olkiluoto. Πρόκειται για ένα ασυνήθιστο περιστατικό. Δεν υπήρξε διαρροή.,2020-12-10 18:44:00,https://www.news247.gr/img/836/9076983/459000/w140/140/finlandia.jpg,φινλανδία,FIN
44, Γαλλία: Ο υπουργός Ευρωπαϊκών Υποθέσεων έκανε coming out ως γκέι ,"Ο Clément Beaune έκανε coming out ως γκέι. Υποσχέθηκε ότι θα υποστηρίξει την ΛΟΑΤΚΙ κοινότητα της Πολωνίας, που στιγματίζεται έντονα.",2020-12-10 14:39:00,https://www.news247.gr/img/7444/9076720/909000/w140/140/cl,γαλλία,FRA
45, Ιταλία-κορονοϊός: 4χρονο αγόρι είχε νοσήσει από το Νοέμβριο του 2019 ,"Νέα έρευνα αποκαλύπτει ότι ιός είχε εξαπλωθεί σε όλο τον κόσμο πριν γίνει γνωστός, αφού ένα παιδί στο Μιλάνο, εξακριβώθηκε ότι νόσησε από κορονοϊό ήδη από τον Νοέμβριο του 2019, χωρίς να έχει ταξιδέψει εκτός Ιταλίας. ",2020-12-10 14:03:00,https://www.news247.gr/img/1164/9076603/578000/w140/140/boy_mask.jpg,ιταλία,ITA
46," Ιταλία: ""Βούλιαξε"" και πάλι η Βενετία ","Η έντονη κακοκαιρία βρήκε απροετοίμαστους τους Ιταλούς. Δε λειτούργησε το σύστημα φραγμάτων, με αποτέλεσμα να δημιουργηθούν τεράστια προβλήματα.",2020-12-10 13:42:00,https://www.news247.gr/img/9804/9076669/773000/w140/140/venice.jpg,ιταλία,ITA
48, Ελληνικό κράνος του 7ου αιώνα π.Χ. εντοπίστηκε σε τάφο πολεμιστή στην Κροατία ,"Ελληνικό κράνος που χρησιμοποιήθηκε στους Περσικούς Πολέμους έφεραν στο φως αρχαιολόγοι στην Κροατία, μαζί με άλλα σπουδαία κειμήλια.",2020-12-10 12:00:00,https://www.news247.gr/img/1451/9076542/185000/w140/140/kranos.jpg,κροατία,HRV
40," Δολοφονία 25χρονου στην Αλβανία: ""Απαιτούμε δικαιοσύνη"" λέει ο πατέρας του ","Σε αναβρασμό βρίσκεται η γειτονική Αλβανία έπειτα από τη δολοφονία 25χρονου από σφαίρα αστυνομικού. ""Είμαστε άνθρωποι και απαιτούμε δικαιοσύνη. Πρέπει να λάβουν την τιμωρία που τους αξίζει"", υποστήριξε ο πατέρας του θύματος.",2020-12-10 11:45:00,https://www.news247.gr/img/2948/9076074/441000/w140/140/albania2.jpg,αλβανία,ALB
49, Ιαπωνία: Θα χρηματοδοτήσουν πρόγραμμα εύρεσης συντρόφου μέσω τεχνητής νοημοσύνης ,"Η χρηματοδότηση της ιαπωνικής κυβέρνησης στοχεύει στην αξιοποίηση προηγμένων συστημάτων ζευγαρώματος που θα λαμβάνουν υπόψη παράγοντες όπως χόμπι και αξίες, έχοντας ως στόχο την αύξηση των γεννήσεων στην χώρα.",2020-12-10 11:27:00,https://www.news247.gr/img/6833/9076497/018000/w140/140/japan.jpg,ιαπωνία,JPN
50, Αποκάλυψη που σοκάρει: Ο Τζονς Χόπκινς ήταν ιδιοκτήτης σκλάβων ,"Το πανεπιστήμιο, το οποίο υπήρξε εξαρχής στο προσκήνιο της πληροφόρησης για τον νέο κορονοϊό, ""υπερηφανεύτηκε"" για τον ιδρυτή που φέρεται να ήταν ιδιοκτήτης σκλάβων. ",2020-12-10 11:01:00,https://www.news247.gr/img/9092/9076410/443000/w140/140/hopkins.jpg,ελλάδα,GRC
51," Παραλήρημα από τον Μητροπολίτη Μόρφου: ""Ψηφιοποιημένη ταυτότητα"" τα εμβόλια ","Για ""νέα τάξη πραγμάτων"" κάνει λόγο ο Μητροπολίτης Μόρφου και ξεκαθαρίζει πως οι εκκλησίες της περιφέρειάς του δεν θα κλείσουν ούτε θα υπάρχει συγκεκριμένος αριθμός πιστών μέσα σε αυτές. Τι λέει για τα εμβόλια.",2020-12-10 10:31:00,https://www.news247.gr/img/5419/7495168/715000/w140/140/morfou.jpg,ελλάδα,GRC
