,title,text,time,image,country,3let,countrycode
0, Κορονοϊός: 588 νέα κρούσματα - 515 διασωληνωμένοι - 70 νεκροί ,  Ο συνολικός αριθμός των κρουσμάτων είναι 131072 και των θανάτων 4172 στην Ελλάδα.  ,2020-12-20 18:00:00,https://www.capital.gr/Content/ImagesDatabase/p/170x132/crop/both/4f/4f38c512b66c462da0b2ea2051c8bc4a.jpg?quality=60&amp;404=default&amp;v=8,ελλάδα,,GR
1, Χαρδαλιάς: Καραντίνα 7 ημερών για όσους φτάνουν από Ηνωμένο Βασίλειο ,  Αντί τριών (3) ημερών που ισχύει για τις αφίξεις από κάθε άλλη χώρα. Για την αντιμετώπιση του μεταλλαγμένου κορονοϊού που εμφανίστηκε στη Βρετανία.  ,2020-12-20 17:51:00,https://www.capital.gr/Content/ImagesDatabase/p/170x132/crop/both/1f/1f59f95cff644dfe958c05ce5fc416d7.jpg?quality=60&amp;404=default&amp;v=8,ηνωμένο βασίλειο,,GB
2, Συνάντηση της Κ. Σακελλαρόπουλου αύριο με τον Κ. Μητσοτάκη ,  Η ΠτΔ και ο πρωθυπουργός θα συναντηθούν στις 11:00.  ,2020-12-20 17:38:00,https://www.capital.gr/Content/ImagesDatabase/p/170x132/crop/both/78/78024549b0194a7eb49bdfefaf20d691.jpg?quality=60&amp;404=default&amp;v=8,ελλάδα,,GR
3, Αυστρία: Η Βιέννη σχεδιάζει απαγόρευση προσγείωσης για πτήσεις από τη Βρετανία ,"   Το υπουργείο Υγείας ανέφερε το απόγευμα στη δημόσια Αυστριακή Ραδιοτηλεόραση (ORF) ότι ""αυτή η μετάλλαξη ιών δεν έχει ακόμη εντοπιστεί στην Αυστρία"".   ",2020-12-20 17:24:00,https://www.capital.gr/Content/ImagesDatabase/p/680x447/crop/both/27/2728422d5aa64d969f8f7c64d676b35a.jpg?quality=60&amp;404=default&amp;v=8,αυστρία,,AT
4, Ήλθαν στην Ελλάδα τα ψυγεία που θα αποθηκευθούν τα εμβόλια κατά του κορονοϊού ,  27 Δεκεμβρίου θα ξεκινήσουν οι εμβολιασμοί σε Αθήνα και Θεσσαλονίκη.  ,2020-12-20 16:54:00,https://www.capital.gr/Content/ImagesDatabase/p/170x132/crop/both/66/6655802df344438d8b8fc87af62ee68e.jpg?quality=60&amp;404=default&amp;v=8,ελλάδα,,GR
5, ΗΠΑ: Ξεκίνησε η διανομή των εμβολίων της Moderna ,  Αύριο πιθανόν να ξεκινήσουν οι εμβολιασμοί.  ,2020-12-20 16:46:00,https://www.capital.gr/Content/ImagesDatabase/p/170x132/crop/both/f9/f94798e84e1d4c86aa0fc868f2a1f907.jpg?quality=60&amp;404=default&amp;v=8,ελλάδα,,GR
6, ΥΠΕΝ: Η κοινωνική ευαισθησία προς τους πραγματικά ευάλωτους είναι δεδομένη ,"  Σε πολλές περιπτώσεις έχει αποδειχθεί ότι πίσω από ""συγκινητικές"" περιπτώσεις κρύβονται στρατηγικοί κακοπληρωτές, αναφέρει το ΥΠΕΝ για τις αποκοπές ηλεκτροδότησης.  ",2020-12-20 16:38:00,https://www.capital.gr/Content/ImagesDatabase/p/170x132/crop/both/02/02b0f93bf7654bb6b2dafdcccdbad46b.jpg?quality=60&amp;404=default&amp;v=8,ελλάδα,,GR
7," Ρωσία: Συνεχίστε την καλή δουλειά, λέει ο πρόεδρος Πούτιν στους Ρώσους κατασκόπους ",  Ορισμένοι διεθνείς ερευνητές για την κυβερνοασφάλεια άφησαν να εννοηθεί ότι η ρωσική SVR ενδέχεται να βρίσκεται πίσω από την άνευ προηγουμένου επίθεση σε αμερικανικούς κυβερνητικούς υπολογιστές.  ,2020-12-20 16:25:00,https://www.capital.gr/Content/ImagesDatabase/p/170x132/crop/both/7f/7f68f038ab1d498d84828c9fa2d40cc6.jpg?quality=60&amp;404=default&amp;v=8,ρωσία,,RU
8, Ν. Χαρδαλιάς: Είναι πάρα πολύ σημαντικό να είμαστε ένα βήμα μπροστά από την πανδημία ,"  Στην Ελευσίνα έφτασε ο υφυπουργός Πολιτικής Προστασίας και Διαχείρισης Κρίσεων, Νίκος Χαρδαλιάς μαζί με τον πρόεδρο του ΕΟΔΥ, Παναγιώτη Αρκουμανέα για να επισκεφθούν τον χώρο όπου πραγματοποιούνται...  ",2020-12-20 16:24:00,https://www.capital.gr/Content/ImagesDatabase/p/170x132/crop/both/f6/f6d66fcf5d534e92a814cbcbc069aa57.jpg?quality=60&amp;404=default&amp;v=8,ελλάδα,,GR
9, Μέτρα επί μέτρων στην Ιταλία ,"  Αυστηροί περιορισμοί στην Ιταλία λόγω πανδημίας. Από αύριο απαγορεύονται οι μετακινήσεις για λόγους αναψυχής ακόμη και εντός της χώρας. Όσο για το χριστουγεννιάτικο ρεβεγιόν, δεν επιτρέπονται πάνω...  ",2020-12-20 16:20:00,https://www.capital.gr/Content/ImagesDatabase/p/170x132/crop/both/a7/a7f89cc04c3b462c9db554df4722d13e.jpg?quality=60&amp;404=default&amp;v=8,ιταλία,,IT
10," Η Ισπανία ζητά μια ""συντονισμένη"" απάντηση από την ΕΕ σχετικά με τις πτήσεις με τη Βρετανία ",  Μετά την ανακάλυψη μιας νέας μετάλλαξης του κορονοϊού στη χώρα αυτή.  ,2020-12-20 16:13:00,https://www.capital.gr/Content/ImagesDatabase/p/170x132/crop/both/2c/2c5880ef3e8c46d1b4413e3575467874.jpg?quality=60&amp;404=default&amp;v=8,ισπανία,,ES
11, ΣΥΡΙΖΑ: Να υπάρξει συνταγογράφηση και αποζημίωση των τεστ για όλους τους πολίτες ,"  ""Αντί για συνταγογράφηση των τεστ που ζητά η Επιτροπή, η κυβέρνηση ετοιμάζει κλήρωση για τυχερούς"".  ",2020-12-20 15:40:00,https://www.capital.gr/Content/ImagesDatabase/p/170x132/crop/both/be/be1abb830f674b02abdd74f499618412.jpg?quality=60&amp;404=default&amp;v=8,ελλάδα,,GR
12," Επικοινωνία Παρισιού, Βερολίνου και ΕΕ για τη νέα μετάλλαξη του κορονοϊού ",  Όπως έγινε γνωστό από το Ελιζέ.  ,2020-12-20 15:30:00,https://www.capital.gr/Content/ImagesDatabase/p/170x132/crop/both/70/7043c093ceaa49c5ab24b6f17f6e927b.jpg?quality=60&amp;404=default&amp;v=8,ελλάδα,,GR
13, Ιταλία: Αναστέλλει τις πτήσεις από και προς τη Βρετανία ,  Λόγω των φόβων που προκαλεί η ανακάλυψη ενός νέου στελέχους του κορονοϊού.  ,2020-12-20 15:23:00,https://www.capital.gr/Content/ImagesDatabase/p/170x132/crop/both/72/722175ce03c24585b6f715e6dd46f401.jpg?quality=60&amp;404=default&amp;v=8,ιταλία,,IT
14, Νιγηρία: Απελευθερώθηκαν δεκάδες μαθητές που είχαν απαχθεί στο βορειοδυτικό τμήμα ,"  Σύμφωνα με τοπικές πηγές, ο αριθμός των μαθητών ανέρχεται σε 113.  ",2020-12-20 15:08:00,https://www.capital.gr/Content/ImagesDatabase/p/170x132/crop/both/44/447609b694874b6dac9e1a441a53357e.jpg?quality=60&amp;404=default&amp;v=8,νιγηρία,,NG
15, Αλόννησος: Αρνητικά όλα τα τεστ που έγιναν σε κατοίκους του νησιού ,"  Οι δειγματοληπτικοί έλεγχοι έγιναν από συνεργείο του ΕΟΔΥ με drive through test στο Πατητήρι και συνολικά, πραγματοποιήθηκαν 70 rapid tests.  ",2020-12-20 15:03:00,https://www.capital.gr/Content/ImagesDatabase/p/170x132/crop/both/69/69550b425e2f4654be7be20ac90f38e3.jpg?quality=60&amp;404=default&amp;v=8,ελλάδα,,GR
16," Γαλλία: ""Σταθερή"" η κατάσταση της υγείας του Εμανουέλ Μακρόν ","  Με συμπτώματα όπως βήχας και κόπωση, ο Εμανουέλ Μακρόν απομονώθηκε το βράδυ της Πέμπτης στην επίσημη κατοικία Λα Λαντέρν, στις Βερσαλλίες.  ",2020-12-20 14:58:00,https://www.capital.gr/Content/ImagesDatabase/p/170x132/crop/both/90/90dab699a0cc42f8b6055fe8977c90ab.jpg?quality=60&amp;404=default&amp;v=8,γαλλία,,FR
17, Εμβολιασμοί και νέα μέτρα στη Μ.Βρετανία ,"  Αισιοδοξία για το εμβόλιο, αλλά και ανησυχία για τη νέα, μεταλλαγμένη μορφή του κορωνοϊού επικρατεί στη Μ.Βρετανία, δέκα ημέρες μετά την έναρξη εμβολιασμών. Αυστηρά μέτρα εξήγγειλε ο πρωθυπουργός...  ",2020-12-20 14:33:00,https://www.capital.gr/Content/ImagesDatabase/p/170x132/crop/both/d4/d4f0add185924eba9c5129869fcd0e57.jpg?quality=60&amp;404=default&amp;v=8,ελλάδα,,GR
18," Ανησυχία σε παγκόσμιο επίπεδο από το νέο στέλεχος του κορονοϊού- Σε ""καραντίνα"" η Βρετανία ",  Έκκληση του ΠΟΥ προς την Ευρώπη για μέτρα. Κλείνουν τα σύνορα ευρωπαϊκών χωρών για τους Βρετανούς.  ,2020-12-20 14:32:00,https://www.capital.gr/Content/ImagesDatabase/p/170x132/crop/both/94/94bdb9a633f94fc58883371bfc716f53.jpg?quality=60&amp;404=default&amp;v=8,ελλάδα,,GR
19," Σε ""καραντίνα"" βάζουν τη Βρετανία λόγω του νέου στελέχους του κορονοϊού ","  Βέλγιο και Ολλανδία διακόπτουν τις πτήσεις, ενώ ακολουθούν Γερμανία και Γαλλία.  ",2020-12-20 14:32:00,,ελλάδα,,GR
20, Γαλλία: Εξετάζει μπλόκο σε πτήσεις και δρομολόγια τρένων από Βρετανία ,  Εξαιτίας του νέου στελέχους κορονοϊού.  ,2020-12-20 14:25:00,https://www.capital.gr/Content/ImagesDatabase/p/170x132/crop/both/8f/8f2d46cac3e84a31a9acee088cfbd10e.jpg?quality=60&amp;404=default&amp;v=8,γαλλία,,FR
21, H υβριδική μονάδα της Peugeot για WEC ,   ,2020-12-20 13:56:00,https://www.capital.gr/Content/ImagesDatabase/p/170x132/crop/both/d4/d4675a04cf3240c99a31208541df3fb0.jpg?quality=60&amp;404=default&amp;v=8,ελλάδα,,GR
22," Ιταλία: Αυξάνεται η δημοτικότητα του Κόντε, περιορίζεται εκείνη της κυβέρνησης ",  Σύμφωνα με μηνιαίο γκάλοπ της εταιρίας Ipsos.  ,2020-12-20 13:50:00,https://www.capital.gr/Content/ImagesDatabase/p/170x132/crop/both/c8/c8bce5574eac48208fdc9b220b84db80.jpg?quality=60&amp;404=default&amp;v=8,ιταλία,,IT
23, Κορονοϊός: Περισσότερα από 76.207.000 κρούσματα παγκοσμίως ,"  Οι ΗΠΑ παραμένουν η πλέον πληγείσα χώρα τόσο σε αριθμό νεκρών όσο και κρουσμάτων, με 316.202 θανάτους και 17.659.271 μολύνσεις.  ",2020-12-20 13:36:00,https://www.capital.gr/Content/ImagesDatabase/p/170x132/crop/both/33/3378e04560024dc19910baf8f6e8fe18.jpg?quality=60&amp;404=default&amp;v=8,ελλάδα,,GR
24, Βέλγιο: Αναστέλλει τα δρομολόγια από τη Βρετανία λόγω του μεταλλαγμένου στελέχους κορονοϊού ,  Ο Βέλγος πρωθυπουργός Αλεξάντερ ντε Κρο διευκρίνισε στο τηλεοπτικό δίκτυο VRT ότι η διάρκεια της αναστολής θα είναι τουλάχιστον 24 ωρών.  ,2020-12-20 13:29:00,https://www.capital.gr/Content/ImagesDatabase/p/170x132/crop/both/3b/3b09d79510c447758a3069eed124ef33.jpg?quality=60&amp;404=default&amp;v=8,βέλγιο,,BE
25, Τι φέρεται να απαντά η Κομισιόν με αφορμή το άρθρο του Spiegel για τα εμβόλια ,"  Για το αν αγόρασε λιγότερα εμβόλια από όσα χρειάζονται οι ""27"" χώρες.  ",2020-12-20 13:10:00,https://www.capital.gr/Content/ImagesDatabase/p/170x132/crop/both/c2/c2717192cd0a4f619cb393779512c338.jpg?quality=60&amp;404=default&amp;v=8,ελλάδα,,GR
26, Αφγανιστάν: Εννέα νεκροί από βομβιστική επίθεση με παγιδευμένο όχημα ,  Προς το παρόν κανένας δεν έχει αναλάβει την ευθύνη για την βομβιστική επίθεση.  ,2020-12-20 12:36:00,https://www.capital.gr/Content/ImagesDatabase/p/170x132/crop/both/80/8001d4c17819421680a82d48223e3731.png?quality=60&amp;404=default&amp;v=8,αφγανιστάν,,AF
27, Πως το Τίμπινγκεν προστατεύει τους ηλικιωμένους ,"  Η πόλη της νότιας Γερμανίας δείχνει το δρόμο. Με πολλά τεστ, με φτηνές ταρίφες σε ταξί για υπερήλικες, με δωρεάν μάσκες για όλους άνω των 65. Το αποτέλεσμα είναι θετικό. Κι άλλες πόλεις θέλουν να...  ",2020-12-20 12:30:00,https://www.capital.gr/Content/ImagesDatabase/p/170x132/crop/both/9e/9eb4701aa8c44ea3a35b3b393731b229.jpg?quality=60&amp;404=default&amp;v=8,ελλάδα,,GR
28, Τράπεζες: Οι προτεραιότητες των τεσσάρων συστημικών για το 2021 ,"   Τα σχέδια Πειραιώς, Alpha Bank, Εθνικής και Eurobank για τη χρηματοδότηση επενδύσεων, τη μείωση ""κόκκινων"" δανείων και τον ψηφιακό μετασχηματισμό. Σύμφωνα με τις προβλέψεις των τεσσάρων συστημικών...   ",2020-12-20 12:18:00,https://www.capital.gr/Content/ImagesDatabase/p/680x447/crop/both/5b/5b08545fa9b7481bb5469293441a1cd7.jpg?quality=60&amp;404=default&amp;v=8,ελλάδα,,GR
29, Βρετανία: Τα νέα μέτρα αναχαίτισης του κορονοϊού μπορεί να έχουν κάποια διάρκεια υπαινίσσεται ο υπ. Υγείας ,"  ""Έχουμε πραγματικά ανάγκη να θέσουμε την κατάσταση υπό έλεγχο (...) Έχουμε μακρύ δρόμο για να το λύσουμε"", ανέφερε ο Ματ Χάνκοκ.  ",2020-12-20 11:35:00,https://www.capital.gr/Content/ImagesDatabase/p/680x326/crop/both/99/995216fdc5a049eab2e33589ddb3d205.jpg?quality=60&amp;404=default&amp;v=8,ελλάδα,,GR
30, Βρετανία: Το νέο στέλεχος του κορονοϊού είναι εκτός ελέγχου αναφέρει ο υπ. Υγείας Μ. Χάνκοκ ,"  Έχουμε πραγματικά ανάγκη να θέσουμε την κατάσταση υπό έλεγχο, ανέφερε.  ",2020-12-20 11:35:00,https://www.capital.gr/Content/ImagesDatabase/p/170x132/crop/both/db/db80a256751149568fd5b7ce07747000.jpg?quality=60&amp;404=default&amp;v=8,ελλάδα,,GR
31, Η κρίση του προϋπολογισμού αποκαλύπτει την ευαλωτότητα της Κυπριακής Δημοκρατίας ,"   Η υπόθεση των ""χρυσών διαβατηρίων"" και τα ανοιχτά μέτωπα της διαπλοκής.   ",2020-12-20 11:17:00,https://www.capital.gr/Content/ImagesDatabase/p/680x447/crop/both/46/46e0d95bf94b47cfb18af4638d0211a0.jpg?quality=60&amp;404=default&amp;v=8,ελλάδα,,GR
32, Αυστρία: Συνελήφθησαν άλλοι δύο ύποπτοι για την επίθεση στη Βιέννη ,  Οι αυστριακές αρχές έχουν ήδη συλλάβει 15 ανθρώπους σε σχέση με την επίθεση αυτή.  ,2020-12-20 10:55:00,https://www.capital.gr/Content/ImagesDatabase/p/680x326/crop/both/bb/bb7ca1b6fc7c45d6b4e4d38925c2250f.jpg?quality=60&amp;404=default&amp;v=8,αυστρία,,AT
33, Αλώβητο το ιταλικό κρασί από την πανδημία ,"  Η Ιταλία είναι ο μεγαλύτερος παραγωγός οίνου στο κόσμο. Η πανδημία ανάγκασε τους οινοπαραγωγούς να στραφούν στην απευθείας διάθεση προϊόντων, τις εξαγωγές κυρίως στην αμερικανική αγορά αλλά και το...  ",2020-12-20 10:53:00,,ελλάδα,,GR
34, Ρωσία: Σε 28.948 ανέρχονται τα νέα κρούσματα και σε 511 οι θάνατοι ,  Με τους νέους θανάτους ανήλθε σε 50.858 ο συνολικός αριθμός των νεκρών.  ,2020-12-20 10:51:00,,ρωσία,,RU
35," Μπολσονάρου: Η βιασύνη για τα εμβόλια δεν δικαιολογείται καθώς ""η πανδημία φτάνει στο τέλος της"" ","  Ο πρόεδρος της Βραζιλίας που συνεχώς υποβαθμίζει τη σοβαρότητα της πανδημίας, έχει αρνηθεί να λάβει οποιοδήποτε εμβόλιο.  ",2020-12-20 10:40:00,,ελλάδα,,GR
36, Μεξικό: 12.129 κρούσματα και 627 θάνατοι από κορονοϊό τις προηγούμενες 24 ώρες ,  Ο απολογισμός της πανδημίας του νέου κορονοϊού στη χώρα έχει φθάσει ως εδώ τους 117.876 νεκρούς επί συνόλου 1.313.675 καταγεγραμμένων μολύνσεων.  ,2020-12-20 10:38:00,,μεξικό,,MX
37, Η Warner Bros καλείται να πληρώσει αποζημίωση για τη χρήση της φωτογραφίας επιχειρηματία σε θρίλερ ,  Ο ενάγων υποστήριξε ότι το ηθικό του ανάστημα και η επιχείρησή του επλήγησαν.  ,2020-12-20 10:25:00,,ελλάδα,,GR
38," Ιράν: Σεισμός 4,5 βαθμών κοντά στη μεθόριο με την Τουρκία ",  Σύμφωνα με το IRNA.  ,2020-12-20 10:07:00,,ιράν,,IR
