,title,text,time,image,country,3let,countrycode
99, Κορωνοϊός: Μεγάλη ημερήσια αύξηση των νεκρών στην Ιταλία , Μεγάλη αύξηση των νεκρών από κορωνοϊό σημειώθηκε στην Ιταλία την τελευταία ημέρα. ,2020-10-12 19:22:00,,ιταλία,,IT
100, Αναχώρησαν για τη Γερμανία 142 αναγνωρισμένοι πρόσφυγες , Εκατόν σαράντα δύο αναγνωρισμένοι πρόσφυγες αναχώρησαν από την Ελλάδα για τη Γερμανία την Πέμπτη. ,2020-10-12 19:04:00,,γερμανία,,DE
101, Γαλλία: Επιβλήθηκαν πρόστιμα 100 και 35 εκατομμυρίων ευρώ σε Google και Amazon ," Η αρμόδια για το Ίντερνετ γαλλική ρυθμιστική αρχή επέβαλε το υψηλότερο πρόστιμο που έχει επιβάλει ποτέ, 100 εκατομμύρια ευρώ, στην Google για παραβίαση των κανονισμών της χώρας για τα διαφημιστικά cookies. ",2020-10-12 18:25:00,,γαλλία,,FR
102, FAZ: Ο Ερντογάν παραπλανά με τα νούμερα των κρουσμάτων κορωνοϊού -H χώρα του ζει ένα σοκ ," Το lockdown, το οποίο ανακοίνωσε ο πρόεδρος της Τουρκίας Ρετζέπ Ταγίπ Ερντογάν στις 30 Νοεμβρίου, ήρθε πολύ αργά, γράφει η γερμανική «FAZ». ",2020-10-12 17:20:00,,ελλάδα,,GR
103," «Υπάρχουν εξωγήινοι, συνεργάζονται με Αμερικανούς αστροναύτες στον Αρη» -Σάλος με δηλώσεις του «πατέρα» της ισραηλινής υπηρεσίας διαστήματος ", Πρώην επικεφαλής διαστημικής ασφαλείας του Ισραήλ ισχυρίζεται πως οι εξωγήινοι… ζουν ανάμεσά μας και μάλιστα συνεργάζονται ήδη με Αμερικανούς αστροναύτες στα έγκατα του «κόκκινου πλανήτη». ,2020-10-12 17:15:00,,ελλάδα,,GR
104, Στόλτενμπεργκ: Το ΝΑΤΟ είναι υπέρ μιας «θετικής προσέγγισης» με την Τουρκία ," Υπέρ μιας θετικής προσέγγισης με την Τουρκία τάχθηκε ο γενικός γραμματέας του ΝΑΤΟ, Γενς Στόλτενμπεργκ. ",2020-10-12 16:33:00,,τουρκία,,TR
105, Αλβανία: Φλέγονται τα Τίρανα μετά τη δολοφονία 25χρονου από αστυνομικό -Τραγική φιγούρα ο πατέρας του νεαρού , Το απόλυτο... χάος επικρατεί από χθες στα Τίρανα της Αλβανίας μετά την εν ψυχρώ δολοφονία του 25χρονου Κλοντιάν Ράσα από αστυνομικό. ,2020-10-12 15:40:00,,αλβανία,,AL
106, Time: Οι αναγνώστες επέλεξαν το ιατρονοσηλευτικό προσωπικό ως «πρόσωπο της χρονιάς» ," Το ιατρονοσηλευτικό προσωπικό των νοσοκομείων, αλλά κι όλους όσους ριψοκινδυνεύουν τις ζωές τους στην πρώτη γραμμή της μάχης με την πανδημία του κορωνοϊού επέλεξε η πλειοψηφία των αναγνωστών του περιοδικού Time ως «πρόσωπο της χρονιάς» για το 2020. ",2020-10-12 15:26:00,,ελλάδα,,GR
107, Reuters για Σύνοδο Κορυφής: Κυρώσεις σε άτομα και όχι στην Τουρκία ," Οι ηγέτες της Ευρωπαϊκής Ένωσης πρόκειται να συμφωνήσουν σε κυρώσεις σε Τούρκους ιδιώτες την Πέμπτη σχετικά με τη διαμάχη με Ελλάδα και Κύπρο για τα ενεργειακά, αλλά θα αναβάλλουν τυχόν αυστηρότερα βήματα για τον Μάρτιο, σύμφωνα με το πρακτορείο Reuters που επικαλείται προσχέδιο συμπερασμάτων της Συνόδου Κορυφής. ",2020-10-12 15:10:00,,τουρκία,,TR
108, Ρωσία: Πιλότος έκανε μανούβρες σχηματίζοντας ένα… φαλλό σε επιβατική πτήση [βίντεο] ," Μία ανόητη ενέργεια στοίχησε την δουλειά του, στον πιλότο Ντένις Πετρίκοφ, που εργαζόταν ως πιλότος. ",2020-10-12 14:47:00,,ρωσία,,RU
109, Ο Χουάν Κάρλος πλήρωσε 680.000 ευρώ στην εφορία -Η κρυφή πιστωτική κάρτα που είχε λάβει δώρο και χρέωνε ακατάπαυστα , Εκατοντάδες χιλιάδες ευρώ κατέβαλε ο Χουάν Κάρλος για την τακτοποίηση οφειλών του προς την εφορία από αδήλωτα εισοδήματα. ,2020-10-12 14:42:00,,ελλάδα,,GR
110, Μακρόν από Σύνοδο Κορυφής: Οι χώρες της ΕΕ πρέπει να υπερασπίζονται την κυριαρχία τους ," Η θέση της Γαλλίας είναι ότι η ΕΕ πρέπει να υπερασπιστεί την κυριαρχία των κρατών-μελών και να επιδιώξει τη σταθερότητα στην Ανατολική Μεσόγειο, τόνισε ο Εμανουέλ Μακρόν. ",2020-10-12 14:36:00,,ελλάδα,,GR
111, Κορωνοϊός: Γυναίκα προειδοποιεί για χρόνια και εξουθενωτικά συμπτώματα -Υποφέρει 257 μέρες , Μία γυναίκα από τον Καναδά που κόλλησε κορωνοϊό εξακολουθεί να υποφέρει από συμπτώματα της ασθένειας 257 μέρες μετά τη μόλυνση. ,2020-10-12 13:19:00,,ελλάδα,,GR
112, Τα fake news των αντιεμβολιαστών: Πώς εκμεταλλεύτηκαν τις φωτό από τα πληγιασμένα πόδια εθελόντριας της Pfizer με άσχετη πάθηση ," Μια εθελόντρια στις δοκιμές του εμβολίου της Pfizer, που πάσχει από μια ανεξήγητη δερματική πάθηση στα πόδια της, αποκάλυψε πώς οι εικόνες των πρησμένων, πληγιασμένων πελμάτων της έγιναν εργαλείο προπαγάνδας από τους αντιεμβολιαστές στο Διαδίκτυο. ",2020-10-12 13:09:00,,ελλάδα,,GR
113," CNN: Η Μελάνια Τραμπ «θέλει να πάει σπίτι της» -Εχει ξεκινήσει η μετακόμιση, πού θα μείνουν "," Στα μέσα Νοεμβρίου η Μελάνια Τραμπ στάθηκε δημόσια στο πλευρό του συζύγου της, Ντόναλντ, όταν αυτός άρχισε να αμφισβητεί τα αποτελέσματα των αμερικανικών εκλογών. ",2020-10-12 12:06:00,,ελλάδα,,GR
114, Νέες βολές Ακάρ κατά Ελλάδας: Θέλει να μας εγκλωβίσει στις ακτές μας και επιδιώκει την ένταση ," Τη θέση ότι η Τουρκία θα συνεχίσει τις δραστηριότητές της στην Ανατολική Μεσόγειο, εξέφρασε ο Χουλουσί Ακάρ. ",2020-10-12 11:33:00,,ελλάδα,,GR
115, Κύπρος: Ο Μητροπολίτης Μόρφου αρνείται να εφαρμόσει τα μέτρα για τον κορωνοϊό ," Ενάντια στα μέτρα που ανακοίνωσε η κυβέρνηση Κύπρου για τους εκκλησιασμούς τάσσεται ο Μητροπολίτης Μόρφου και μέσω παρέμβασής του ανακοινώνει πως οι ναοί στα όρια της μητροπολιτικής περιφέρειας Μόρφου, θα συνεχίσουν απρόσκοπτα τη λειτουργία τους. ",2020-10-12 11:17:00,,κύπρος,,CY
0, Ντιέγκο Μαραντόνα: Ξεκίνησε η μάχη για την περιουσία του -Πόσοι διεκδικούν μερίδιο από τα 40 εκατομμύρια ," Ξεκίνησε η μάχη ανάμεσα στους συγγενείς του Ντιέγκο Μαραντόνα για τη μεγαλύτερη από 40 εκατομμύρια ευρώ περιουσία του ποδοσφαιριστή, με τουλάχιστον 16 άτομα να διεκδικούν μερίδιο. ",2020-10-12 10:57:00,,ελλάδα,,GR
116, Ο Βέμπερ... την είπε στον Τζόνσον για τους εμβολιασμούς: «Χωρίς την Ευρώπη δεν υπάρχει εμβόλιο» ," Απάντηση στους «πανηγυρισμούς» του Μπόρις Τζόνσον για την έναρξη των εμβολιασμών κατά του κορωνοϊού στη Βρετανία έδωσε ο επικεφαλής της Κοινοβουλευτικής Ομάδας του Ευρωπαϊκού Λαϊκού Κόμματος, Μάνφρεντ Βέμπερ. ",2020-10-12 10:57:00,,ελλάδα,,GR
1, The Sun: Ο Μπιλ Κλίντον είναι «τρομοκρατημένος» ότι θα τον χωρίσει η Χίλαρι -Για ποιο λόγο ," Ο Μπιλ Κλίντον είναι «τρομοκρατημένος» ότι η σύζυγός του Χίλαρι θα τον χωρίσει εν μέσω των ισχυρισμών ότι επισκέφθηκε το νησί των οργίων του παιδόφιλου Τζέφρι Έπσταϊν, αποκάλυψε στενός φίλος του ζευγαριού. ",2020-09-12 19:10:00,,ελλάδα,,GR
